plyrid,perf_key,songid,gender,birthyear,lovetot,zone
360,360_35435057,_hey_there_delilah,M,1988.0,3.0,EN
360,360_26934219,_closing_time,M,1988.0,2.0,EN
360,360_35435961,_burn,M,1988.0,2.0,EN
360,360_36313263,_burn,M,1988.0,2.0,EN
360,360_35352936,_as_long_as_you_love_me,M,1988.0,2.0,EN
360,360_28869961,_all_star,M,1988.0,2.0,EN
360,360_40568006,_toxic,M,1988.0,2.0,EN
360,360_36313664,_want_u_back,M,1988.0,2.0,EN
360,360_37179345,_happy,M,1988.0,2.0,EN
360,360_21740786,_all_the_small_things,M,1988.0,1.0,EN
67982109,67982109_30599969,_super_bass,F,1994.0,2.0,EN
67982109,67982109_30565735,_hallelujah,F,1994.0,1.0,EN
67982109,67982109_38757010,_valerie,F,1994.0,1.0,EN
67982109,67982109_29601319,_hush_little_baby,F,1994.0,1.0,EN
67982109,67982109_38759052,_more_than_this,F,1994.0,0.0,EN
67982109,67982109_31286272,_let_it_go,F,1994.0,0.0,EN
67982109,67982109_38753464,_wanted,F,1994.0,0.0,EN
67982109,67982109_30650465,_bubbly,F,1994.0,0.0,EN
67982109,67982109_30564791,_pompeii,F,1994.0,0.0,EN
67982109,67982109_31567373,_just_the_way_you_are_bm,F,1994.0,0.0,EN
68307032,68307032_39371033,_young_girls,M,1985.0,1.0,EN
68307032,68307032_37611136,_demons,M,1985.0,0.0,EN
68307032,68307032_46688227,_ill_be,M,1985.0,0.0,EN
68307032,68307032_37628522,_let_her_go,M,1985.0,0.0,EN
68307032,68307032_39376090,_cups_pitch_perfect,M,1985.0,0.0,EN
68307032,68307032_37606632,_let_her_go,M,1985.0,0.0,EN
68307032,68307032_49471172,_hey_there_delilah,M,1985.0,0.0,EN
68307032,68307032_46663958,_ill_be,M,1985.0,0.0,EN
68307032,68307032_46854321,_hey_there_delilah,M,1985.0,0.0,EN
68307032,68307032_37623498,_say_something_great_big,M,1985.0,0.0,EN
68366569,68366569_26384659,_kiss_me_,F,1990.0,1.0,EN
68366569,68366569_47718068,_bubbly,F,1990.0,1.0,EN
68366569,68366569_40174715,_home_phillip_phillips,F,1990.0,0.0,EN
68366569,68366569_47715725,_if_i_aint_got_you,F,1990.0,0.0,EN
68366569,68366569_40173512,_bubbly,F,1990.0,0.0,EN
68366569,68366569_28940318,_cups_pitch_perfect,F,1990.0,0.0,EN
68366569,68366569_39548661,_let_it_go,F,1990.0,0.0,EN
68366569,68366569_40173111,_bubbly,F,1990.0,0.0,EN
68366569,68366569_39548632,_let_it_go,F,1990.0,0.0,EN
68366569,68366569_40173934,_let_it_go,F,1990.0,0.0,EN
68430397,68430397_23580182,_total_eclipse_of_heart,F,1978.0,1.0,EN
68430397,68430397_23578723,_the_rose,F,1978.0,1.0,EN
68430397,68430397_30457189,_the_rose,F,1978.0,0.0,EN
68430397,68430397_23577421,_wind_beneath_my_wings,F,1978.0,0.0,EN
68430397,68430397_50220517,_crazy_patsy,F,1978.0,0.0,EN
68430397,68430397_50226294,_achy_breaky_heart,F,1978.0,0.0,EN
68430397,68430397_50224233,_girls_just_want_have_fun,F,1978.0,0.0,EN
68430397,68430397_23592085,_on_my_own,F,1978.0,0.0,EN
68430397,68430397_37207004,_crazy_patsy,F,1978.0,0.0,EN
68430397,68430397_37209842,_achy_breaky_heart,F,1978.0,0.0,EN
68500763,68500763_47792113,_songbird,F,1947.0,11.0,EN
68500763,68500763_41807236,_from_this_moment,F,1947.0,10.0,EN
68500763,68500763_34592807,_songbird,F,1947.0,9.0,EN
68500763,68500763_35809367,_say_something_great_big,F,1947.0,7.0,EN
68500763,68500763_30671765,_say_something_great_big,F,1947.0,6.0,EN
68500763,68500763_31421960,_songbird,F,1947.0,5.0,EN
68500763,68500763_25485652,_let_her_go,F,1947.0,5.0,EN
68500763,68500763_47034512,_always_on_my_mind,F,1947.0,5.0,EN
68500763,68500763_32480776,_wind_beneath_my_wings,F,1947.0,5.0,EN
68500763,68500763_34003146,_all_the_man_i_need,F,1947.0,4.0,EN
68661233,68661233_29716690,_need_you_now,F,1978.0,1.0,EN
68661233,68661233_34374355,_safe_and_sound_capital,F,1978.0,1.0,EN
68661233,68661233_31871812,_let_it_go,F,1978.0,0.0,EN
68661233,68661233_34368353,_fuckin_perfect,F,1978.0,0.0,EN
68661233,68661233_23939418,_because_of_you,F,1978.0,0.0,EN
68661233,68661233_45811856,_i_wont_give_up,F,1978.0,0.0,EN
68661233,68661233_34371431,_clarity,F,1978.0,0.0,EN
68661233,68661233_32131358,_from_this_moment,F,1978.0,0.0,EN
68661233,68661233_35288045,_alone_heart,F,1978.0,0.0,EN
68661233,68661233_22233627,_love_song,F,1978.0,0.0,EN
68700363,68700363_43377560,_i_dreamed_a_dream,F,1979.0,25.0,EN
68700363,68700363_44911760,_part_of_your_world,F,1979.0,11.0,EN
68700363,68700363_44598929,_human,F,1979.0,10.0,EN
68700363,68700363_39528494,_the_first_cut_is_deepest,F,1979.0,8.0,EN
68700363,68700363_39526345,_my_heart_will_go_on,F,1979.0,8.0,EN
68700363,68700363_49390888,_try,F,1979.0,7.0,EN
68700363,68700363_40360494,_let_it_go,F,1979.0,7.0,EN
68700363,68700363_45469575,_at_last,F,1979.0,6.0,EN
68700363,68700363_37735883,_rainy_days_and_mondays,F,1979.0,6.0,EN
68700363,68700363_37733028,_im_a_slave_4_u,F,1979.0,5.0,EN
68722250,68722250_35887620,_want_u_back,F,1996.0,2.0,EN
68722250,68722250_33705744,_cups_pitch_perfect,F,1996.0,1.0,EN
68722250,68722250_35764140,_whatcha_say,F,1996.0,1.0,EN
68722250,68722250_33726646,_when_i_was_your_man,F,1996.0,1.0,EN
68722250,68722250_30881122,_this_little_lght_of_mine,F,1996.0,1.0,EN
68722250,68722250_35700094,_whatcha_say,F,1996.0,1.0,EN
68722250,68722250_35804790,_boyfriend,F,1996.0,1.0,EN
68722250,68722250_35806205,_baby_bieber,F,1996.0,0.0,EN
68722250,68722250_35802509,_whatcha_say,F,1996.0,0.0,EN
68722250,68722250_37611273,_apologize,F,1996.0,0.0,EN
68846173,68846173_35936536,_just_the_way_you_are_bm,F,1997.0,2.0,FR
68846173,68846173_37180285,_the_lazy_song,F,1997.0,2.0,FR
68846173,68846173_35523358,_somewhere_only_we_know,F,1997.0,2.0,FR
68846173,68846173_35629626,_somewhere_only_we_know,F,1997.0,2.0,FR
68846173,68846173_34335182,_demons,F,1997.0,1.0,FR
68846173,68846173_33936821,_it_will_rain,F,1997.0,1.0,FR
68846173,68846173_37181979,_demons,F,1997.0,1.0,FR
68846173,68846173_38545914,_when_i_was_your_man,F,1997.0,1.0,FR
68846173,68846173_35097908,_forget_you,F,1997.0,1.0,FR
68846173,68846173_35435748,_omg,F,1997.0,1.0,FR
68874527,68874527_42508496,_apologize,F,1995.0,2.0,EN
68874527,68874527_42515934,_breakeven,F,1995.0,2.0,EN
68874527,68874527_42510598,_cups_pitch_perfect,F,1995.0,2.0,EN
68874527,68874527_42510262,_happy,F,1995.0,2.0,EN
68874527,68874527_42508794,_im_yours,F,1995.0,1.0,EN
68874527,68874527_44197437,_a_thousand_miles,F,1995.0,1.0,EN
68874527,68874527_44195923,_im_yours,F,1995.0,1.0,EN
68874527,68874527_42521620,_counting_stars,F,1995.0,0.0,EN
68874527,68874527_44187555,_the_climb,F,1995.0,0.0,EN
68874527,68874527_42625797,_let_her_go,F,1995.0,0.0,EN
68922370,68922370_28468566,_summertime_sadness,F,1994.0,65.0,EN
68922370,68922370_23339829,_15_seconds_of_fame,F,1994.0,56.0,EN
68922370,68922370_22714747,_naturally,F,1994.0,55.0,EN
68922370,68922370_23192991,_because_of_you,F,1994.0,53.0,EN
68922370,68922370_22845915,_all_i_want_for_christmas,F,1994.0,51.0,EN
68922370,68922370_22843774,_jingle_bell_rock,F,1994.0,49.0,EN
68922370,68922370_28088456,_king_of_anything,F,1994.0,47.0,EN
68922370,68922370_23182192,_gorilla,F,1994.0,46.0,EN
68922370,68922370_33484150,_lights_ellie,F,1994.0,44.0,EN
68922370,68922370_23350199,_adore_you,F,1994.0,42.0,EN
69096745,69096745_31122849,_best_song_ever,F,1995.0,6.0,EN
69096745,69096745_33187652,_burn,F,1995.0,3.0,EN
69096745,69096745_43171649,_pompeii,F,1995.0,3.0,EN
69096745,69096745_43153792,_summertime_sadness,F,1995.0,3.0,EN
69096745,69096745_28451199,_summertime_sadness,F,1995.0,3.0,EN
69096745,69096745_42067051,_i_dreamed_a_dream,F,1995.0,2.0,EN
69096745,69096745_43145855,_summertime_sadness,F,1995.0,2.0,EN
69096745,69096745_36672665,_radioactive,F,1995.0,2.0,EN
69096745,69096745_41964260,_i_dreamed_a_dream,F,1995.0,2.0,EN
69096745,69096745_30357181,_demons,F,1995.0,2.0,EN
69164761,69164761_33100838,_jesus_take_the_wheel,F,1985.0,7.0,EN
69164761,69164761_32708165,_say_something_great_big,F,1985.0,5.0,EN
69164761,69164761_34015154,_apologize,F,1985.0,5.0,EN
69164761,69164761_39468507,_landslide,F,1985.0,3.0,EN
69164761,69164761_44520381,_happy,F,1985.0,3.0,EN
69164761,69164761_50537953,_stay_with_me,F,1985.0,2.0,EN
69164761,69164761_31552243,_summertime_sadness,F,1985.0,2.0,EN
69164761,69164761_43398597,_amazing_grace_elvis,F,1985.0,2.0,EN
69164761,69164761_26657637,_my_heart_will_go_on,F,1985.0,2.0,EN
69164761,69164761_47173169,_if_i_aint_got_you,F,1985.0,2.0,EN
69251376,69251376_31194361,_my_heart_will_go_on,F,1993.0,2.0,EN
69251376,69251376_31524431,_can_you_feel_love_tngt,F,1993.0,2.0,EN
69251376,69251376_31616922,_blurred_lines,F,1993.0,2.0,EN
69251376,69251376_31103859,_linger,F,1993.0,2.0,EN
69251376,69251376_31193432,_more_than_words,F,1993.0,1.0,EN
69251376,69251376_31195034,_over_the_rainbow,F,1993.0,1.0,EN
69251376,69251376_31615402,_radioactive,F,1993.0,1.0,EN
69251376,69251376_31614769,_demons,F,1993.0,1.0,EN
69251376,69251376_31192375,_zombie,F,1993.0,1.0,EN
69251376,69251376_31614270,_the_one_i_love,F,1993.0,1.0,EN
69411204,69411204_26009441,_somewhere_only_we_know,F,1986.0,66.0,EN
69411204,69411204_33391558,_say_something_great_big,F,1986.0,52.0,EN
69411204,69411204_31249892,_songbird,F,1986.0,51.0,EN
69411204,69411204_37285370,_happy,F,1986.0,29.0,EN
69411204,69411204_37200550,_linger,F,1986.0,28.0,EN
69411204,69411204_36168909,_you_and_i,F,1986.0,26.0,EN
69411204,69411204_24734144,_name,F,1986.0,22.0,EN
69411204,69411204_37399239,_summertime_sadness,F,1986.0,20.0,EN
69411204,69411204_43656038,_the_first_cut_is_deepest,F,1986.0,17.0,EN
69411204,69411204_36121737,_stay_rihanna,F,1986.0,15.0,EN
69443616,69443616_41218829,_say_something_great_big,M,1990.0,4.0,EN
69443616,69443616_27686021,_home_phillip_phillips,M,1990.0,4.0,EN
69443616,69443616_27482759,_house_of_the_rising_sun,M,1990.0,3.0,EN
69443616,69443616_26163950,_brave,M,1990.0,3.0,EN
69443616,69443616_44363782,_human,M,1990.0,3.0,EN
69443616,69443616_28235541,_try,M,1990.0,3.0,EN
69443616,69443616_29365463,_adore_you,M,1990.0,2.0,EN
69443616,69443616_22856241,_wake_me_up,M,1990.0,2.0,EN
69443616,69443616_33181937,_burn,M,1990.0,2.0,EN
69443616,69443616_25813589,_hallelujah,M,1990.0,2.0,EN
69557896,69557896_28565533,_the_rose,F,1975.0,3.0,EN
69557896,69557896_28939394,_part_of_your_world,F,1975.0,3.0,EN
69557896,69557896_35160268,_songbird,F,1975.0,2.0,EN
69557896,69557896_24576135,_crazy_patsy,F,1975.0,2.0,EN
69557896,69557896_22613199,_your_song,F,1975.0,2.0,EN
69557896,69557896_28564132,_house_of_the_rising_sun,F,1975.0,2.0,EN
69557896,69557896_23725063,_the_rose,F,1975.0,1.0,EN
69557896,69557896_27536542,_the_rose,F,1975.0,1.0,EN
69557896,69557896_24709980,_wind_beneath_my_wings,F,1975.0,1.0,EN
69557896,69557896_24102450,_how_great_thou_art,F,1975.0,0.0,EN
69668503,69668503_24445703,_on_my_own,F,1986.0,2.0,EN
69668503,69668503_23622104,_aint_no_sunshine,F,1986.0,2.0,EN
69668503,69668503_24440861,_santeria,F,1986.0,1.0,EN
69668503,69668503_23616558,_killing_me_softly,F,1986.0,1.0,EN
69668503,69668503_23618458,_aint_no_sunshine,F,1986.0,0.0,EN
69668503,69668503_33268511,_on_my_own,F,1986.0,0.0,EN
69668503,69668503_37079635,_cups_pitch_perfect,F,1986.0,0.0,EN
69668503,69668503_23624004,_aint_no_sunshine,F,1986.0,0.0,EN
69668503,69668503_24049411,_you_know_im_no_good,F,1986.0,0.0,EN
69668503,69668503_23625903,_lean_on_me,F,1986.0,0.0,EN
69766860,69766860_33069548,_from_this_moment,F,1989.0,7.0,EN
69766860,69766860_45896439,_i_hope_you_dance,F,1989.0,6.0,EN
69766860,69766860_34187287,_as_long_as_you_love_me,F,1989.0,2.0,EN
69766860,69766860_32397632,_killing_me_softly,F,1989.0,1.0,EN
69766860,69766860_31782909,_the_way_you_look_tony,F,1989.0,1.0,EN
69766860,69766860_45606051,_at_last,F,1989.0,1.0,EN
69766860,69766860_47422003,_ill_be,F,1989.0,0.0,EN
69766860,69766860_28608218,_the_climb,F,1989.0,0.0,EN
69766860,69766860_25452070,_you_are_not_alone,F,1989.0,0.0,EN
69766860,69766860_30356365,_kiss_me_,F,1989.0,0.0,EN
69902249,69902249_47794385,_my_heart_will_go_on,M,1988.0,1.0,EN
69902249,69902249_42889092,_my_heart_will_go_on,M,1988.0,1.0,EN
69902249,69902249_47403858,_my_heart_will_go_on,M,1988.0,1.0,EN
69902249,69902249_46736053,_my_heart_will_go_on,M,1988.0,1.0,EN
69902249,69902249_42737221,_my_heart_will_go_on,M,1988.0,1.0,EN
69902249,69902249_46734694,_can_you_feel_love_tngt,M,1988.0,1.0,EN
69902249,69902249_49724935,_can_you_feel_love_tngt,M,1988.0,0.0,EN
69902249,69902249_32979924,_my_heart_will_go_on,M,1988.0,0.0,EN
69902249,69902249_31893791,_my_heart_will_go_on,M,1988.0,0.0,EN
69902249,69902249_42751940,_my_heart_will_go_on,M,1988.0,0.0,EN
70167169,70167169_49286652,_hallelujah,M,1982.0,1.0,EN
70167169,70167169_34605981,_one_of_us,M,1982.0,1.0,EN
70167169,70167169_34605470,_hand_in_my_pocket,M,1982.0,0.0,EN
70167169,70167169_43520167,_brave,M,1982.0,0.0,EN
70167169,70167169_35653426,_hallelujah,M,1982.0,0.0,EN
70167169,70167169_35475188,_cups_pitch_perfect,M,1982.0,0.0,EN
70167169,70167169_34604440,_hand_in_my_pocket,M,1982.0,0.0,EN
70167169,70167169_37897098,_stay_rihanna,M,1982.0,0.0,EN
70167169,70167169_34605047,_ironic,M,1982.0,0.0,EN
70167169,70167169_34609285,_cups_pitch_perfect,M,1982.0,0.0,EN
70315264,70315264_42450291,_have_i_told_you_lately,M,1955.0,11.0,EN
70315264,70315264_45636688,_say_something_great_big,M,1955.0,11.0,EN
70315264,70315264_25491640,_name,M,1955.0,8.0,EN
70315264,70315264_28870628,_all_star,M,1955.0,8.0,EN
70315264,70315264_48085519,_feel_like_makin_love,M,1955.0,8.0,EN
70315264,70315264_25213009,_candle_in_the_wind,M,1955.0,7.0,EN
70315264,70315264_29246771,_runaway_train,M,1955.0,7.0,EN
70315264,70315264_35433380,_a_horse_with_no_name,M,1955.0,6.0,EN
70315264,70315264_35253076,_behind_blue_eyes,M,1955.0,6.0,EN
70315264,70315264_30849248,_the_one_i_love,M,1955.0,5.0,EN
70334891,70334891_45061104,_cups_pitch_perfect,F,1992.0,1.0,EN
70334891,70334891_31335826,_counting_stars,F,1992.0,1.0,EN
70334891,70334891_35553595,_when_a_man_loves_a_woman,F,1992.0,1.0,EN
70334891,70334891_34351598,_wake_me_up,F,1992.0,0.0,EN
70334891,70334891_45058581,_always_be_my_baby,F,1992.0,0.0,EN
70334891,70334891_35435279,_summertime_sadness,F,1992.0,0.0,EN
70334891,70334891_34356580,_say_something_great_big,F,1992.0,0.0,EN
70334891,70334891_35433188,_let_her_go,F,1992.0,0.0,EN
70334891,70334891_21905106,_my_girl,F,1992.0,0.0,EN
70334891,70334891_45055198,_hey_there_delilah,F,1992.0,0.0,EN
